Image Name                     PID Session Name        Session#    Mem Usage
steamwebhelper.exe            6116 Console                    1      1,864 K
steamwebhelper.exe           20604 Console                    1     29,212 K
RiotClientServices.exe       21216 Console                    1      2,048 K
RiotClientCrashHandler.ex    20748 Console                    1        468 K
AdobeCollabSync.exe          20964 Console                    1      2,916 K
AdobeCollabSync.exe          20764 Console                    1     13,172 K
ms-teams.exe                 20916 Console                    1     13,768 K
RuntimeBroker.exe            20956 Console                    1      1,352 K
msedgewebview2.exe           15128 Console                    1     35,964 K
msedgewebview2.exe           19720 Console                    1        728 K
msedgewebview2.exe           21448 Console                    1      9,696 K
msedgewebview2.exe           21476 Console                    1     15,892 K
msedgewebview2.exe           20060 Console                    1      2,288 K
msedgewebview2.exe           21636 Console                    1     22,224 K
ms-teams.exe                 21548 Console                    1     18,572 K
msedgewebview2.exe           22580 Console                    1      2,572 K
Canva.exe                    20308 Console                    1        656 K
Canva.exe                    23288 Console                    1      1,464 K
google.exe                   13476 Console                    1     18,172 K
crashpad_handler.exe         23684 Console                    1        392 K
Perplexity.exe                8256 Console                    1     22,992 K
Perplexity.exe               23720 Console                    1        636 K
Perplexity.exe               23936 Console                    1      9,096 K
Perplexity.exe               22712 Console                    1      7,420 K
msedgewebview2.exe           10784 Console                    1     25,376 K
msedgewebview2.exe           24244 Console                    1        684 K
msedgewebview2.exe           24516 Console                    1      8,380 K
msedgewebview2.exe           24500 Console                    1      6,192 K
msedgewebview2.exe           19896 Console                    1      2,212 K
msedgewebview2.exe           23824 Console                    1      2,552 K
msedgewebview2.exe           23612 Console                    1      3,000 K
msedgewebview2.exe           17196 Console                    1      2,660 K
msedgewebview2.exe           19528 Console                    1      2,548 K
msedgewebview2.exe           24624 Console                    1      2,620 K
msedgewebview2.exe           24684 Console                    1      2,584 K
msedgewebview2.exe           24744 Console                    1      2,636 K
Perplexity.exe               24928 Console                    1     12,756 K
Perplexity.exe               25172 Console                    1      1,772 K
msedgewebview2.exe           25312 Console                    1     26,016 K
msedgewebview2.exe           25344 Console                    1        756 K
msedgewebview2.exe           25520 Console                    1     10,916 K
msedgewebview2.exe           25532 Console                    1      7,416 K
msedgewebview2.exe           25580 Console                    1      2,048 K
msedgewebview2.exe           25664 Console                    1      2,484 K
msedgewebview2.exe           25752 Console                    1      4,256 K
Perplexity.exe               25880 Console                    1      1,876 K
steamwebhelper.exe           26052 Console                    1      2,116 K
slack.exe                    26412 Console                    1     36,980 K
slack.exe                    26568 Console                    1        668 K
slack.exe                    18216 Console                    1      6,836 K
slack.exe                    21180 Console                    1     13,316 K
slack.exe                    22964 Console                    1    141,584 K
slack.exe                    21344 Console                    1      1,320 K
slack.exe                    24156 Console                    1      5,316 K
RuntimeBroker.exe            22944 Console                    1      2,300 K
WhatsApp.Root.exe            12128 Console                    1     22,468 K
RuntimeBroker.exe            15712 Console                    1      1,520 K
msedgewebview2.exe           18124 Console                    1     44,096 K
msedgewebview2.exe           18080 Console                    1      2,012 K
msedgewebview2.exe            8744 Console                    1     10,292 K
msedgewebview2.exe            1536 Console                    1     18,256 K
msedgewebview2.exe           21072 Console                    1      2,712 K
msedgewebview2.exe            4412 Console                    1     32,892 K
CrossDeviceService.exe       14284 Console                    1     32,592 K
RuntimeBroker.exe             6784 Console                    1      1,576 K
jusched.exe                  10424 Console                    1         20 K
ONENOTEM.EXE                 27400 Console                    1        320 K
ONENOTE.EXE                  27540 Console                    1    167,328 K
ACCStd.exe                   21320 Console                    1      7,356 K
ePowerButton_NB.exe          22156 Console                    1      2,192 K
StorPSCTL.exe                 2372 Console                    1        716 K
PredatorSense.exe            27216 Console                    1     48,468 K
Notepad.exe                   1740 Console                    1      7,432 K
aimgr.exe                     8652 Console                    1      1,264 K
M365Copilot.exe              22556 Console                    1      9,860 K
RuntimeBroker.exe            12684 Console                    1      1,604 K
msedgewebview2.exe           13776 Console                    1      7,596 K
msedgewebview2.exe           17204 Console                    1      1,172 K
msedgewebview2.exe            3268 Console                    1      4,296 K
msedgewebview2.exe           20864 Console                    1      1,344 K
msedgewebview2.exe           12996 Console                    1         16 K
msedgewebview2.exe           23580 Console                    1        516 K
SpotifyWidgetProvider.exe     8288 Console                    1      4,344 K
crashpad_handler.exe          7020 Console                    1        980 K
Video.UI.exe                 23000 Console                    1         20 K
XboxPcAppFT.exe              27812 Console                    1      5,940 K
svchost.exe                  28056 Services                   0      1,232 K
RuntimeBroker.exe            28316 Console                    1      1,436 K
AppActions.exe               27860 Console                    1      5,240 K
UBTService.exe                8052 Services                   0      6,296 K
AppMonitorPlugIn.exe         28384 Console                    1      2,944 K
CamUsage.exe                 17108 Services                   0      3,920 K
MicUsage.exe                 12992 Services                   0      4,628 K
jucheck.exe                  23992 Console                    1      3,160 K
ApplicationFrameHost.exe     20108 Console                    1      2,512 K
svchost.exe                  28272 Services                   0        352 K
svchost.exe                  12880 Console                    1        736 K
svchost.exe                  22832 Services                   0      1,516 K
svchost.exe                  16656 Services                   0      2,260 K
RuntimeBroker.exe            24208 Console                    1      6,052 K
svchost.exe                   3924 Services                   0        992 K
LockApp.exe                  31464 Console                    1         20 K
svchost.exe                  31496 Services                   0        844 K
RuntimeBroker.exe            31724 Console                    1      7,304 K
svchost.exe                  32100 Console                    1      1,676 K
svchost.exe                  12980 Services                   0        876 K
PhoneExperienceHost.exe      30048 Console                    1     42,620 K
YourPhoneAppProxy.exe        11444 Console                    1      8,548 K
Antigravity.exe              29940 Console                    1     90,168 K
Antigravity.exe              33124 Console                    1        464 K
Antigravity.exe              27008 Console                    1     77,700 K
Antigravity.exe              31640 Console                    1     12,456 K
Antigravity.exe               3500 Console                    1    602,688 K
Antigravity.exe              30700 Console                    1      1,156 K
Antigravity.exe               2760 Console                    1     11,508 K
Antigravity.exe              29480 Console                    1     14,276 K
Antigravity.exe              14444 Console                    1      7,360 K
conhost.exe                  29544 Console                    1        280 K
powershell.exe               32072 Console                    1        800 K
Antigravity.exe              18340 Console                    1      1,416 K
Antigravity.exe              32192 Console                    1      4,708 K
explorer.exe                  8600 Console                    1      5,872 K
Antigravity.exe              18748 Console                    1    183,880 K
conhost.exe                  27348 Console                    1        276 K
powershell.exe                3104 Console                    1        788 K
conhost.exe                  13968 Console                    1        280 K
powershell.exe                9056 Console                    1        788 K
svchost.exe                  35544 Services                   0        684 K
svchost.exe                   5616 Services                   0      2,464 K
cowork-svc.exe               35792 Services                   0      4,692 K
claude.exe                   36612 Console                    1     23,148 K
claude.exe                   24136 Console                    1        496 K
claude.exe                   34276 Console                    1     35,136 K
